lat,long,og
42.2726432,-71.63056329999999,"(42.2726432, -71.63056329999999)"
42.2938387,-71.3633943,"(42.2938387, -71.3633943)"
42.2935333,-71.3633479,"(42.2935333, -71.3633479)"
42.2934736,-71.3643221,"(42.2934736, -71.3643221)"
42.2934736,-71.3643221,"(42.2934736, -71.3643221)"
42.2931033,-71.36455409999999,"(42.2931033, -71.36455409999999)"
42.2770556,-71.3722549,"(42.2770556, -71.3722549)"
42.2770556,-71.3722549,"(42.2770556, -71.3722549)"
42.2764212,-71.37202289999999,"(42.2764212, -71.37202289999999)"
42.2794482,-71.34876919999999,"(42.2794482, -71.34876919999999)"
42.27907219999999,-71.3514525,"(42.27907219999999, -71.3514525)"
42.2902977,-71.3438631,"(42.2902977, -71.3438631)"
42.2906697,-71.3438631,"(42.2906697, -71.3438631)"
42.3054773,-71.3578273,"(42.3054773, -71.3578273)"
42.3054773,-71.3578273,"(42.3054773, -71.3578273)"
42.305574,-71.3568531,"(42.305574, -71.3568531)"
42.2910702,-71.3398268,"(42.2910702, -71.3398268)"
42.2910702,-71.3398268,"(42.2910702, -71.3398268)"
42.278454,-71.35509019999999,"(42.278454, -71.35509019999999)"
42.27784399999999,-71.3561108,"(42.27784399999999, -71.3561108)"
42.277753,-71.3549046,"(42.277753, -71.3549046)"
42.2938919,-71.3566211,"(42.2938919, -71.3566211)"
42.2951334,-71.3564819,"(42.2951334, -71.3564819)"
42.2951334,-71.3564819,"(42.2951334, -71.3564819)"
42.2953013,-71.3570386,"(42.2953013, -71.3570386)"
42.3231704,-71.3356513,"(42.3231704, -71.3356513)"
42.3231704,-71.3356513,"(42.3231704, -71.3356513)"
42.3032129,-71.3295272,"(42.3032129, -71.3295272)"
42.3032129,-71.3295272,"(42.3032129, -71.3295272)"
42.280498,-71.396531,"(42.280498, -71.396531)"
42.25129,-71.3168889,"(42.25129, -71.3168889)"
42.25129,-71.3168889,"(42.25129, -71.3168889)"
42.2502314,-71.3169538,"(42.2502314, -71.3169538)"
42.24923709999999,-71.3183457,"(42.24923709999999, -71.3183457)"
42.2758657,-71.3494261,"(42.2758657, -71.3494261)"
42.2758657,-71.3494261,"(42.2758657, -71.3494261)"
42.275635,-71.3503813,"(42.275635, -71.3503813)"
42.274885,-71.38083689999999,"(42.274885, -71.38083689999999)"
42.2943797,-71.38128549999999,"(42.2943797, -71.38128549999999)"
42.2943797,-71.38128549999999,"(42.2943797, -71.38128549999999)"
42.2938882,-71.3822828,"(42.2938882, -71.3822828)"
42.2931631,-71.3827166,"(42.2931631, -71.3827166)"
42.2931631,-71.3827166,"(42.2931631, -71.3827166)"
